Person,Cause,Date,Dept_name,State
K9 Sara,Struck by vehicle,10/8/2014,Iowa Motor Vehicle Enforcement, IA
K9 Robbie,Struck by vehicle,10/20/2014,Wyoming Highway Patrol, WY
Sergeant Sean Patrick Renfro,Struck by vehicle,1/3/2015,Jefferson County Sheriff's Office, CO
Police Officer Ronald Eugene Strittmatter,Heart attack,1/3/2015,Lakeshire Police Department, MO
Police Officer Craig Anthony Chandler,Vehicle pursuit,1/9/2015,Baltimore City Police Department, MD
Corrections Officer V Christopher A. Davis,Automobile accident,1/14/2015,Texas Department of Criminal Justice, TX
"Corrections Officer V Eligio Ruiz Garcia, Jr.",Automobile accident,1/14/2015,Texas Department of Criminal Justice, TX
Deputy Chief Steven Bonano,9/11 related illness,1/17/2015,New York City Police Department, NY
Director of Investigations John Ballard Gorman,Gunfire (Accidental),1/21/2015,Mississippi Gaming Commission, MS
Detective I John Scott Stevens,Automobile accident,1/21/2015,Ocean County Prosecutor's Office, NJ
Sergeant Charles Kerry Mitchum,Automobile accident,1/26/2015,Loxley Police Department, AL
Patrolman Roger Monroe Odell,Heart attack,1/28/2015,Town Creek Police Department, AL
Deputy Sheriff Rodney Condall,Heart attack,1/28/2015,Orleans Parish Sheriff's Office, LA
Detective Michael Lynn Starrett,Automobile accident,1/30/2015,Jacksboro Police Department, TN
Trooper Nicholas Glenn Dees,Struck by vehicle,1/31/2015,Oklahoma Highway Patrol, OK
Police Officer Peter D. Ciaccio,9/11 related illness,2/12/2015,New York City Police Department, NY
"Police Officer III Siegfred D. R. ""Dove"" Mortera",Heart attack,2/14/2015,Guam Police Department, GU
Captain Neville Stanley Kealii Colburn,Heart attack,2/23/2015,Honolulu Police Department, HI
Special Agent William C. Sheldon,9/11 related illness,3/2/2015,"United States Department of Justice - Bureau of Alcohol, Tobacco, Firearms and Explosives", US
Detective Terence Avery Green,Gunfire,3/4/2015,Fulton County Police Department, GA
Lieutenant Clifford Scott Travis,Heart attack,3/5/2015,Bullitt County Detention Center, KY
"Sergeant Robert Francis Wilson, III",Gunfire,3/5/2015,Philadelphia Police Department, PA
Police Officer Brennan Roger Rabain,Automobile accident,3/7/2015,Prince George's County Police Department, MD
Deputy U.S. Marshal Josie Lamar Wells,Gunfire,3/10/2015,United States Department of Justice - United States Marshals Service, US
Deputy Sheriff Johnny Edward Gatson,Automobile accident,3/10/2015,Warren County Sheriff's Office, MS
Police Officer Burke Jevon Rhoads,Automobile accident,3/11/2015,Nicholasville Police Department, KY
Patrolman George S. Nissen,Assault,3/12/2015,Stone Park Police Department, IL
"Trooper Donald R. Fredenburg, Jr.",Heart attack,3/13/2015,New York State Police, NY
Police Officer Darryl Deon Wallace,Automobile accident,3/15/2015,Clayton County Police Department, GA
Lieutenant Richard Glenn Woods,Heart attack,3/17/2015,Pell City Police Department, AL
Patrolman Adrian Arellano,Motorcycle accident,3/18/2015,El Paso Police Department, TX
Senior Police Officer Alex K. Yazzie,Gunfire,3/19/2015,Navajo Division of Public Safety, TR
Police Officer Michael Jeremiah Johnson,Gunfire,3/24/2015,San Jose Police Department, CA
Trooper Trevor John Casper,Gunfire,3/24/2015,Wisconsin State Patrol, WI
Police Officer David Lee Colley,Automobile accident,4/4/2015,Montgomery Police Department, AL
Police Officer Jared J. Forsyth,Gunfire (Accidental),4/6/2015,Ocala Police Department, FL
"Police Officer Juandre Devon Gilliam, Sr",Vehicle pursuit,4/8/2015,Jeanerette Police Department, LA
Corporal Scott R. Thompson,Heart attack,4/10/2015,Manchester Township Police Department, NJ
Deputy Sheriff Gil C. Datan,Accidental,4/20/2015,Coos County Sheriff's Office, OR
Detective Brian Raymond Moore,Gunfire,5/4/2015,New York City Police Department, NY
Sergeant Gregory King Moore,Gunfire,5/5/2015,Coeur d'Alene Police Department, ID
Lieutenant Eric Alan Eslary,Automobile accident,5/5/2015,Ligonier Township Police Department, PA
Detective Paul John Koropal,Heart attack,5/5/2015,Allegheny County District Attorney's Office - Investigative Division, PA
Detective Stuart F. Fishkin,9/11 related illness,5/8/2015,New York City Police Department, NY
Patrolman Liquori Terja Tate,Gunfire,5/9/2015,Hattiesburg Police Department, MS
Patrolman Benjamin Joseph Deen,Gunfire,5/9/2015,Hattiesburg Police Department, MS
Auxiliary Deputy Sonny Allan Smith,Gunfire,5/15/2015,Johnson County Sheriff's Office, AR
Police Officer Richard K. Martin,Vehicular assault,5/18/2015,Houston Police Department, TX
Detective Kerrie Sue Orozco,Gunfire,5/20/2015,Omaha Police Department, NE
Inspector Robert James Bowling,Automobile accident,5/21/2015,North Carolina Division of Motor Vehicles License and Theft Bureau, NC
Deputy Sheriff Michael Alan Brandle,Heart attack,5/21/2015,Jefferson County Sheriff's Office, OH
Trooper Taylor Joseph Thyfault,Vehicular assault,5/23/2015,Colorado State Patrol, CO
"Patrolman James Arthur Bennett, Jr.",Gunfire,5/24/2015,Housing Authority of New Orleans Police Department, LA
Sergeant Iris Janett Smith,Automobile accident,5/25/2015,Mississippi Department of Corrections, MS
"Police Officer Gregg Anthony ""Nigel"" Benner",Gunfire,5/25/2015,Rio Rancho Police Department, NM
Trooper Anthony A. Raspa,Automobile accident,5/30/2015,New Jersey State Police, NJ
"Deputy U.S. Marshal Zacarias Toro, Jr.",9/11 related illness,6/14/2015,United States Department of Justice - United States Marshals Service, US
Sheriff Ladson Lamar O'Connor,Vehicle pursuit,6/16/2015,Montgomery County Sheriff's Office, GA
Police Officer Rick Lee Silva,Assault,6/18/2015,Chehalis Police Department, WA
Police Officer Sonny Lee Kim,Gunfire,6/19/2015,Cincinnati Police Department, OH
Police Officer Daryle S. Holloway,Gunfire,6/20/2015,New Orleans Police Department, LA
Trooper Eric Keith Chrisman,Automobile accident,6/23/2015,Kentucky State Police, KY
Detective Sergeant Christopher Dan Kelley,Vehicular assault,6/24/2015,Hutto Police Department, TX
Sergeant Korby Lee Kennedy,Motorcycle accident,6/25/2015,San Angelo Police Department, TX
Police Officer David Joseph Nelson,Vehicle pursuit,6/26/2015,Bakersfield Police Department, CA
Correctional Officer Gregory Dale Mitchell,Accidental,7/7/2015,Georgia Department of Corrections, GA
Patrolman John James Wilding,Fall,7/12/2015,Scranton Police Department, PA
Sergeant James Bryan McCrystal,Vehicular assault,7/14/2015,Georgia Department of Corrections, GA
Corrections Officer II Timothy A. Davison,Assault,7/15/2015,Texas Department of Criminal Justice, TX
"Police Officer Vernell Brown, Jr.",Struck by vehicle,7/17/2015,New Orleans Police Department, LA
Sergeant Scott Paul Lunger,Gunfire,7/22/2015,Hayward Police Department, CA
Police Officer II Sean Michael Bolton,Gunfire,8/1/2015,Memphis Police Department, TN
Police Officer Thomas Joseph LaValley,Gunfire,8/5/2015,Shreveport Police Department, LA
Detective Brent L. Hanger,Heart attack,8/6/2015,Washington State Patrol, WA
"First Lieutenant Arthur Adolph Green, III",Aircraft accident,8/9/2015,Michigan Department of Natural Resources, MI
Deputy Sheriff Craig Stephen Whisenand,Automobile accident,8/11/2015,Tazewell County Sheriff's Office, IL
Deputy Sheriff Carlos Diamond Francies,Drowned,8/13/2015,Contra Costa County Sheriff's Office, CA
Sergeant Joseph James Abdella,Heart attack,8/14/2015,Detroit Police Department, MI
Deputy Sheriff Carl G. Howell,Gunfire,8/15/2015,Carson City Sheriff's Office, NV
Agent Elsa L. Rosa-Ortiz,Automobile accident,8/17/2015,Puerto Rico Police Department, PR
Detention Officer Tronoski Dontel Jones,Heart attack,8/20/2015,Harris County Sheriff's Office, TX
Senior Trooper Steven J. Vincent,Gunfire,8/24/2015,Louisiana State Police, LA
Sergeant Peggy Marie Vassallo,Struck by vehicle,8/24/2015,Bellefontaine Neighbors Police Department, MO
Police Officer Henry Andres Nelson,Gunfire,8/26/2015,Sunset Police Department, LA
Trooper Chad H. Wolf,Motorcycle accident,8/28/2015,Michigan State Police, MI
Trooper James Matthew Bava,Vehicle pursuit,8/28/2015,Missouri State Highway Patrol, MO
Deputy Sheriff Darren H. Goforth,Gunfire,8/28/2015,Harris County Sheriff's Office, TX
Sergeant Miguel Jose Perez-Rios,Gunfire,9/7/2015,Puerto Rico Police Department, PR
Lieutenant Roy D. McLaughlin,9/11 related illness,9/10/2015,Yonkers Police Department, NY
Deputy Chief John P. McKee,9/11 related illness,9/12/2015,City University of New York Department of Public Safety, NY
Trooper Joseph Cameron Ponder,Gunfire,9/13/2015,Kentucky State Police, KY
Deputy Sheriff Steven Brett Hawkins,Heart attack,9/13/2015,Harrison County Sheriff's Office, MO
Deputy Sheriff Dwight Darwin Maness,Gunfire,9/14/2015,McHenry County Sheriff's Office, IL
Deputy Sheriff Richard Allen Hall,Automobile accident,9/16/2015,Chatham County Sheriff's Office, GA
Sergeant Eric O. Meier,Heart attack,9/17/2015,Crawford Police Department, NY
Trooper Kyle David Young,Duty related illness,9/17/2015,Vermont State Police, VT
Master Patrol Officer Kevin Jermaine Toatley,Automobile accident,9/19/2015,DeKalb County Police Department, GA
Trooper II Nathan-Michael William Smith,Automobile accident,9/21/2015,Virginia State Police, VA
Deputy Sheriff William J. Myers,Gunfire,9/22/2015,Okaloosa County Sheriff's Office, FL
Deputy Sheriff Rosemary Vela,Automobile accident,9/28/2015,Madison County Sheriff's Office, TN
Police Officer Gregory Thomas Alia,Gunfire,9/30/2015,Forest Acres Police Department, SC
Patrol Officer Anthony E. Lossiah,Duty related illness,10/6/2015,Cherokee Indian Police Department, TR
Investigator Steven Martin Sandberg,Gunfire,10/18/2015,Aitkin County Sheriff's Office, MN
Detective Randolph A. Holder,Gunfire,10/20/2015,New York City Police Department, NY
"Park Ranger James Marvin Wallen, Jr.",Automobile accident,10/25/2015,Hamilton County Parks and Recreation Department, TN
Deputy Constable Jeffrey Emmons Radford,Automobile accident,10/28/2015,Bell County Constable's Office - Precinct 3, TX
Police Officer Daniel Scott Webster,Gunfire,10/29/2015,Albuquerque Police Department, NM
Sergeant William Karl Keesee,Automobile accident,10/29/2015,Texas Department of Public Safety - Texas Highway Patrol, TX
Police Officer Bryce Edward Hanes,Vehicular assault,11/5/2015,San Bernardino Police Department, CA
Senior Patrol Officer Daniel Neil Ellis,Gunfire,11/6/2015,Richmond Police Department, KY
"Police Officer Nathan John Van Oort, Sr.",Weather/Natural disaster,11/7/2015,Ohio University Police Department, OH
Police Officer Stacy Lynn Case,Automobile accident,11/7/2015,Columbia Police Department, SC
Chief of Police Darrell Lamond Allen,Gunfire,11/10/2015,Marlin Police Department, TX
Trooper Jaimie Lynn Jursevics,Vehicular assault,11/15/2015,Colorado State Patrol, CO
Police Officer Ricardo Galvez,Gunfire,11/18/2015,Downey Police Department, CA
Corporal William Matthew Solomon,Vehicular assault,11/19/2015,Georgia Ports Authority Police Department, GA
Special Investigator Diane DiGiacomo,9/11 related illness,11/20/2015,American Society for the Prevention of Cruelty to Animals Humane Law Enforcement, NY
K9 Officer Ryan Patrick Copeland,Automobile accident,11/23/2015,McFarland Police Department, WI
Police Officer I Garrett Preston Russell Swasey,Gunfire,11/27/2015,University of Colorado at Colorado Springs Police Department, CO
"Police Officer Lloyd E. Reed, Jr.",Gunfire,11/28/2015,St. Clair Township Police Department, PA
Police Officer III Noah Aaron Leotta,Vehicular assault,12/10/2015,Montgomery County Police Department, MD
Trooper Eli M. McCarson,Automobile accident,12/17/2015,New Jersey State Police, NJ
Special Agent Adrianna Maria Vorderbruggen,Bomb,12/21/2015,United States Air Force Office of Special Investigations, US
Special Agent Michael Anthony Cinco,Bomb,12/21/2015,United States Air Force Office of Special Investigations, US
Special Agent Peter Wagner Taub,Bomb,12/21/2015,United States Air Force Office of Special Investigations, US
"Special Agent Chester J. McBride, III",Bomb,12/21/2015,United States Air Force Office of Special Investigations, US
Special Agent Joseph G. Lemm,Bomb,12/21/2015,United States Air Force Office of Special Investigations, US
Special Agent Louis Michael Bonacasa,Bomb,12/21/2015,United States Air Force Office of Special Investigations, US
Commander Frank Román-Rodríguez,Gunfire,12/28/2015,Puerto Rico Police Department, PR
Lieutenant Luz M. Soto-Segarra,Gunfire,12/28/2015,Puerto Rico Police Department, PR
Agent Rosario Hernández de Hoyos,Gunfire,12/28/2015,Puerto Rico Police Department, PR
Police Officer Juan Feliciano,Heart attack,12/29/2015,New York City Police Department, NY
K9 Blue,Fire,1/10/2015,Georgetown County Sheriff's Office, SC
K9 Sultan,Gunfire,1/21/2015,Riverside County Sheriff's Department, CA
K9 Pepper,Gunfire,1/28/2015,Wise County Sheriff's Office, TX
K9 Mako,Animal related,2/19/2015,Cleveland County Sheriff's Office, NC
K9 Fritzie,Drowned,3/12/2015,Bath Police Department, WV
K9 Barney,Poisoned,3/25/2015,Tacoma Police Department, WA
K9 Harry,Automobile accident,3/28/2015,Audubon County Sheriff's Office, IA
K9 Bella,Fire,4/15/2015,Maryland Division of Correction, MD
K9 Jimmy,Struck by vehicle,4/18/2015,King County Sheriff's Office, WA
K9 Igor,Heat exhaustion,4/21/2015,Kissimmee Police Department, FL
K9 Jimmy,Heat exhaustion,5/27/2015,Hialeah Police Department, FL
K9 Hector,Heat exhaustion,5/27/2015,Hialeah Police Department, FL
K9 Chewbacca,Animal related,6/15/2015,Hancock County Sheriff's Office, MS
K9 Nitro,Heat exhaustion,6/30/2015,Stockton Police Department, CA
K9 Baston,Heat exhaustion,7/10/2015,Savannah State University Police Department, GA
K9 Titus,Heat exhaustion,7/15/2015,Little Rock Police Department, AR
K9 Zane,Heat exhaustion,7/16/2015,Conyers Police Department, GA
K9 Zeke,Heat exhaustion,7/23/2015,Muldrow Police Department, OK
K9 Jola,Heat exhaustion,8/10/2015,Jim Wells County Sheriff's Office, TX
K9 Falko,Gunfire,8/12/2015,Toledo Police Department, OH
K9 Wix,Heat exhaustion,8/12/2015,Brown County Sheriff's Office, WI
K9 Kojack,Heat exhaustion,8/25/2015,Maryland Division of Correction, MD
K9 Dingo,Heat exhaustion,8/25/2015,Maryland Division of Correction, MD
K9 Ike,Stabbed,9/2/2015,Vancouver Police Department, WA
K9 Dutch,Training accident,9/5/2015,Minneapolis Police Department, MN
K9 Koa,Struck by vehicle,10/16/2015,Lander Police Department, WY
K9 Hyco,Gunfire,10/21/2015,Anderson County Sheriff's Office, SC
"Corporal Harvey Snook, III",9/11 related illness,1/14/2016,Arlington County Police Department, VA
"Police Officer Thomas W. Cottrell, Jr.",Gunfire,1/17/2016,Danville Police Department, OH
"Police Officer Douglas Scott Barney, II.",Gunfire,1/17/2016,Unified Police Department of Greater Salt Lake, UT
Correctional Officer Adam Conrad,Automobile accident,1/20/2016,Marion County Sheriff's Office, IL
Special Agent Scott McGuire,Vehicular assault,1/24/2016,United States Department of Homeland Security - Immigration and Customs Enforcement - Homeland Security Investigations, US
Sergeant Jason Goodding,Gunfire,2/5/2016,Seaside Police Department, OR
Deputy Sheriff Derek Geer,Gunfire,2/8/2016,Mesa County Sheriff's Office, CO
Deputy Sheriff Scott Ballantyne,Aircraft accident,2/10/2016,Tulare County Sheriff's Office, CA
Senior Deputy Mark Logsdon,Gunfire,2/10/2016,Harford County Sheriff's Office, MD
Senior Deputy Patrick Dailey,Gunfire,2/10/2016,Harford County Sheriff's Office, MD
Major Gregory E. Barney,Gunfire,2/11/2016,Riverdale Police Department, GA
Police Officer Jason Moszer,Gunfire,2/11/2016,Fargo Police Department, ND
Special Agent Lee Tartt,Gunfire,2/20/2016,Mississippi Department of Public Safety - Bureau of Narcotics, MS
Corporal Nate Carrigan,Gunfire,2/24/2016,Park County Sheriff's Office, CO
Officer Ashley Marie Guindon,Gunfire,2/27/2016,Prince William County Police Department, VA
Deputy Sheriff Travis Russell,Automobile accident,3/1/2016,Las Animas County Sheriff's Office, CO
Police Officer David Stefan Hofer,Gunfire,3/1/2016,Euless Police Department, TX
Police Officer Scot Fitzgerald,Automobile accident,3/4/2016,South Jacksonville Police Department, IL
Trooper Sean E. Cullen,Struck by vehicle,3/8/2016,New Jersey State Police, NJ
"Deputy Sheriff John Robert Kotfila, Jr.",Vehicular assault,3/12/2016,Hillsborough County Sheriff's Office, FL
Officer Nathan Taylor,Struck by vehicle,3/13/2016,California Highway Patrol, CA
Police Officer I Jacai D. Colson,Gunfire (Accidental),3/13/2016,Prince George's County Police Department, MD
Patrolman David Ortiz,Motorcycle accident,3/14/2016,El Paso Police Department, TX
First Sergeant Joseph G. Portaro,Heart attack,3/14/2016,West Virginia State Police, WV
Trooper Thomas Clardy,Automobile accident,3/16/2016,Massachusetts State Police, MA
Police Officer III Allen Lee Jacobs,Gunfire,3/18/2016,Greenville Police Department, SC
Deputy Sheriff Carl A. Koontz,Gunfire,3/20/2016,Howard County Sheriff's Office, IN
Police Officer Susan Louise Farrell,Vehicular assault,3/26/2016,Des Moines Police Department, IA
Police Officer Carlos Puente-Morales,Vehicular assault,3/26/2016,Des Moines Police Department, IA
Trooper Jeffrey Nichols,Automobile accident,3/26/2016,Texas Department of Public Safety - Texas Highway Patrol, TX
Trooper Chad Phillip Dermyer,Gunfire,3/31/2016,Virginia State Police, VA
Police Officer Steven Michael Smith,Gunfire,4/12/2016,Columbus Division of Police, OH
Border Patrol Agent Jose Daniel Barraza,Automobile accident,4/18/2016,United States Department of Homeland Security - Customs and Border Protection - United States Border Patrol, US
Sergeant Jorge Ramos,Heart attack,5/1/2016,Florida Department of Corrections, FL
"Investigator Anthony ""TJ"" Freeman",Vehicle pursuit,5/5/2016,Bibb County Sheriff's Office, GA
Detective Brad D. Lancaster,Gunfire,5/9/2016,Kansas City Police Department, KS
Police Officer David Van Glasser,Gunfire,5/19/2016,Phoenix Police Department, AZ
Police Officer Sean R. Johnson,Motorcycle accident,5/19/2016, Hilliard Division of Police, OH
"Police Officer Ronald Tarentino, Jr.",Gunfire,5/22/2016,Auburn Police Department, MA
Deputy Sheriff Michael Arthur Winter,Animal related,5/31/2016,Branch County Sheriff's Office, MI
Sergeant Derrick Mingo,Automobile accident,6/4/2016,Winnsboro Police Department, LA
"Police Officer Verdell Smith, Sr",Vehicular assault,6/4/2016,Memphis Police Department, TN
Police Officer Natasha Maria Hunter,Vehicular assault,6/7/2016,New Orleans Police Department, LA
Deportation Officer Brian Beliso,Heart attack,6/8/2016,United States Department of Homeland Security - Immigration and Customs Enforcement - Office of Enforcement and Removal Operations, US
Police Officer Endy Nddiobong  Ekpanya,Vehicular assault,6/12/2016,Pearland Police Department, TX
Agent Gilberto Colón-Leon,Gunfire,6/13/2016,Puerto Rico Police Department, PR
Police Officer Michael Jason Katherman,Motorcycle accident,6/14/2016,San Jose Police Department, CA
Police Officer Zachary Tyler Larnerd,Automobile accident,6/15/2016,Gainesboro Police Department, TN
Sergeant Stacey Allen Baumgartner,Vehicle pursuit,6/19/2016,Patton Village Police Department, TX
"Deputy Sheriff David Francis Michel, Jr.",Gunfire,6/22/2016,Jefferson Parish Sheriff's Office, LA
Officer Bradley Wayne Treat,Animal related,6/29/2016,United States Department of Agriculture - Forest Service Law Enforcement and Investigations, US
"Deputy Sheriff Martin Tase Sturgill, II",Heart attack,6/30/2016,Humphreys County Sheriff's Office, TN
Sergeant David Kyle Elahi,Vehicular assault,7/3/2016,Sterlington Police Department, LA
K9 Jojo,Asphyxiation,1/6/2016,San Bernardino County Sheriff's Department, CA
K9 Jethro,Gunfire,1/10/2016,Canton Police Department, OH
K9 Krijger,Gunfire,1/11/2016,Norfolk Police Department, VA
K9 Ogar,Gunfire,1/19/2016,Smith County Constable's Office - Precinct 5, TX
K9 Jag,Struck by vehicle,1/20/2016,Twin Rivers Unified School District Police Department, CA
K9 Kobus,Gunfire,1/23/2016,Omaha Police Department, NE
K9 Betcha,Struck by vehicle,1/29/2016,Rutland County Sheriff's Office, VT
K9 Aren,Stabbed,1/31/2016,Port Authority of Allegheny County Police Department, PA
K9 Vigor,Drowned,3/9/2016,Monroe County Sheriff's Office, TN
K9 Reefer,Struck by vehicle,3/9/2016,Chelan County Sheriff's Office, WA
K9 Nicky,Gunfire (Accidental),3/31/2016,Las Vegas Metropolitan Police Department, NV
K9 Aldo,Gunfire,4/27/2016,Unified Police Department of Greater Salt Lake, UT
K9 Bruno,Gunfire,5/18/2016,Anaheim Police Department, CA
K9 Suki,Heat exhaustion,5/20/2016,Westchester County Department of Public Safety, NY
K9 Ledger,Heat exhaustion,5/29/2016,La Salle County Sheriff's Office, TX
K9 Duke,Heat exhaustion,6/1/2016,Richland Parish Sheriff's Office, LA
K9 Rex,Heat exhaustion,6/2/2016,San Juan Police Department, TX
K9 Inca,Heat exhaustion,6/10/2016,Cherokee County School District Police Department, GA
K9 Bruno,Accidental,6/12/2016,Amarillo Police Department, TX
K9 Lazer,Heat exhaustion,6/20/2016,United States Department of Homeland Security - Customs and Border Protection - United States Border Patrol, US
K9 Tyson,Heat exhaustion,6/27/2016,Fountain County Sheriff's Office, IN
K9 Credo,Gunfire (Accidental),6/28/2016,Long Beach Police Department, CA
K9 Roscoe,Automobile accident,7/1/2016,Emmett Police Department, ID
